,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Jun,4.5,090,21,25.9,26.4
1,2 Jun,4.7,090,21,25.9,26.4
2,3 Jun,4.6,090,21,26.0,26.5
3,4 Jun,4.7,090,22,26.1,26.5
4,5 Jun,4.5,090,22,26.2,26.5
5,6 Jun,4.4,090,22,26.2,26.6
6,7 Jun,4.0,090,23,26.2,26.5
7,8 Jun,3.9,090,24,26.2,26.6
8,9 Jun,3.8,090,23,26.2,26.6
9,10 Jun,3.8,090,22,26.3,26.7
10,11 Jun,4.1,090,21,26.3,26.8
11,12 Jun,4.4,220,21,26.4,26.9
12,13 Jun,4.5,220,21,26.5,26.9
13,14 Jun,4.5,220,21,26.5,27.0
14,15 Jun,4.5,220,22,26.5,27.0
15,16 Jun,4.3,220,23,26.6,27.0
16,17 Jun,4.4,220,23,26.7,27.1
17,18 Jun,4.6,220,23,26.7,27.2
18,19 Jun,5.1,220,23,26.8,27.2
19,20 Jun,5.5,220,22,26.8,27.2
20,21 Jun,5.6,220,22,26.8,27.2
21,22 Jun,5.6,220,22,26.8,27.2
22,23 Jun,5.6,220,23,26.8,27.2
23,24 Jun,5.4,210,24,26.8,27.2
24,25 Jun,5.2,200,24,26.7,27.1
25,26 Jun,5.5,200,25,26.7,27.1
26,27 Jun,5.8,200,24,26.7,27.1
27,28 Jun,5.9,200,23,26.7,27.1
28,29 Jun,6.2,200,22,26.7,27.2
29,30 Jun,6.5,220,22,26.8,27.2
30,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
