,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Jan,5.3,060,24,18.3,18.6
1,2 Jan,5.5,070,25,18.2,18.5
2,3 Jan,5.4,070,25,18.1,18.4
3,4 Jan,5.3,070,26,18.0,18.3
4,5 Jan,5.4,070,26,17.9,18.2
5,6 Jan,5.4,070,26,17.9,18.1
6,7 Jan,5.5,070,25,17.8,18.0
7,8 Jan,5.5,070,24,17.7,18.0
8,9 Jan,5.3,070,24,17.7,18.0
9,10 Jan,5.1,010,24,17.7,18.0
10,11 Jan,4.9,010,24,17.6,17.9
11,12 Jan,4.7,070,25,17.6,17.9
12,13 Jan,4.7,070,26,17.5,17.8
13,14 Jan,4.8,060,26,17.4,17.7
14,15 Jan,4.9,060,26,17.4,17.7
15,16 Jan,4.9,060,26,17.3,17.6
16,17 Jan,4.8,060,25,17.3,17.6
17,18 Jan,4.6,060,25,17.3,17.6
18,19 Jan,4.3,060,26,17.3,17.6
19,20 Jan,4.0,060,26,17.3,17.6
20,21 Jan,3.8,060,26,17.3,17.5
21,22 Jan,3.6,060,27,17.2,17.4
22,23 Jan,3.5,060,26,17.1,17.3
23,24 Jan,3.3,010,26,17.1,17.3
24,25 Jan,3.6,010,26,17.0,17.2
25,26 Jan,3.7,010,26,16.9,17.1
26,27 Jan,3.9,010,25,16.8,17.1
27,28 Jan,3.9,010,25,16.8,17.0
28,29 Jan,4.4,060,24,16.8,17.0
29,30 Jan,4.2,060,24,16.8,17.0
30,31 Jan,4.1,060,25,16.8,17.1
31,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
