,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Feb,4.0,070,25,16.8,17.1
1,2 Feb,4.0,070,25,16.8,17.0
2,3 Feb,3.9,060,26,16.7,17.0
3,4 Feb,3.9,070,26,16.7,17.0
4,5 Feb,4.0,060,25,16.7,16.9
5,6 Feb,4.0,060,25,16.7,16.9
6,7 Feb,4.1,070,25,16.7,16.9
7,8 Feb,4.1,070,24,16.7,17.0
8,9 Feb,4.2,060,23,16.6,17.0
9,10 Feb,4.2,070,23,16.6,17.0
10,11 Feb,4.2,070,23,16.7,17.0
11,12 Feb,4.0,070,23,16.7,17.1
12,13 Feb,3.8,070,23,16.8,17.1
13,14 Feb,3.3,070,23,16.8,17.2
14,15 Feb,3.0,070,24,16.8,17.2
15,16 Feb,2.8,060,24,16.9,17.2
16,17 Feb,2.6,060,24,16.9,17.2
17,18 Feb,2.7,070,25,16.9,17.2
18,19 Feb,2.9,060,25,16.9,17.2
19,20 Feb,2.9,060,25,17.0,17.2
20,21 Feb,3.0,060,24,17.0,17.3
21,22 Feb,3.2,060,24,17.0,17.3
22,23 Feb,2.9,060,24,17.0,17.2
23,24 Feb,2.6,070,25,17.1,17.3
24,25 Feb,2.6,070,26,17.1,17.3
25,26 Feb,2.6,070,26,17.0,17.3
26,27 Feb,2.5,070,26,17.0,17.3
27,28 Feb,2.7,070,26,17.1,17.3
28,29 Feb,2.4,070,24,16.9,17.1
29,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
