,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Sep,6.1,090,17,27.0,27.4
1,2 Sep,5.7,090,18,27.0,27.4
2,3 Sep,5.7,090,19,27.0,27.3
3,4 Sep,5.6,090,20,27.0,27.3
4,5 Sep,5.6,090,21,27.0,27.3
5,6 Sep,5.7,090,21,26.9,27.3
6,7 Sep,5.9,090,21,26.9,27.4
7,8 Sep,6.0,090,21,26.9,27.4
8,9 Sep,6.0,090,21,26.9,27.5
9,10 Sep,6.0,080,20,27.0,27.5
10,11 Sep,6.0,080,20,27.1,27.5
11,12 Sep,5.8,080,21,27.0,27.5
12,13 Sep,5.6,080,21,27.1,27.5
13,14 Sep,5.6,080,21,27.1,27.5
14,15 Sep,5.7,090,22,27.2,27.5
15,16 Sep,5.6,090,22,27.2,27.6
16,17 Sep,5.7,090,22,27.3,27.6
17,18 Sep,5.8,090,22,27.3,27.7
18,19 Sep,5.8,090,23,27.3,27.6
19,20 Sep,5.7,090,23,27.3,27.6
20,21 Sep,5.6,090,23,27.3,27.6
21,22 Sep,5.4,090,25,27.3,27.5
22,23 Sep,5.3,080,26,27.2,27.5
23,24 Sep,5.5,080,27,27.2,27.5
24,25 Sep,5.7,080,27,27.1,27.5
25,26 Sep,5.8,080,27,27.1,27.5
26,27 Sep,6.0,090,27,27.1,27.5
27,28 Sep,6.0,090,26,27.1,27.5
28,29 Sep,5.9,080,26,27.1,27.6
29,30 Sep,5.6,080,27,27.2,27.5
31,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
