,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 May,4.1,080,19,22.9,23.5
1,2 May,4.0,080,19,23.0,23.6
2,3 May,4.0,080,19,23.1,23.6
3,4 May,4.1,080,19,23.2,23.7
4,5 May,4.5,080,18,23.3,23.8
5,6 May,4.8,080,18,23.4,23.9
6,7 May,5.1,080,17,23.6,24.0
7,8 May,5.1,080,17,23.8,24.2
8,9 May,5.0,080,17,23.9,24.3
9,10 May,4.9,080,18,24.1,24.5
10,11 May,5.0,080,18,24.2,24.6
11,12 May,5.2,080,18,24.3,24.7
12,13 May,5.3,080,19,24.4,24.9
13,14 May,5.4,080,19,24.5,25.0
14,15 May,5.2,080,20,24.6,25.1
15,16 May,5.0,080,21,24.7,25.2
16,17 May,4.8,080,21,24.8,25.3
17,18 May,4.6,080,22,24.9,25.3
18,19 May,4.2,080,22,24.9,25.3
19,20 May,4.1,080,23,25.0,25.4
20,21 May,4.0,080,22,25.1,25.4
21,22 May,3.9,080,22,25.1,25.4
22,23 May,4.0,080,21,25.2,25.6
23,24 May,4.1,080,20,25.3,25.7
24,25 May,4.2,080,20,25.4,25.8
25,26 May,4.4,080,20,25.5,25.9
26,27 May,4.2,080,20,25.5,26.0
27,28 May,4.1,080,20,25.6,26.0
28,29 May,4.3,080,20,25.7,26.1
29,30 May,4.3,080,20,25.7,26.2
30,31 May,4.3,080,21,25.8,26.3
31,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
