,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Apr,2.8,070,22,19.2,19.7
1,2 Apr,2.7,070,23,19.3,19.8
2,3 Apr,2.6,070,23,19.5,19.9
3,4 Apr,2.6,070,22,19.6,19.9
4,5 Apr,2.7,070,22,19.6,20.0
5,6 Apr,2.5,070,22,19.8,20.1
6,7 Apr,2.3,070,22,19.9,20.3
7,8 Apr,2.2,070,22,20.1,20.5
8,9 Apr,2.3,070,22,20.2,20.6
9,10 Apr,2.3,070,22,20.4,20.8
10,11 Apr,2.5,080,22,20.5,20.9
11,12 Apr,2.6,070,22,20.5,20.9
12,13 Apr,2.8,070,22,20.6,20.9
13,14 Apr,3.1,070,21,20.7,21.0
14,15 Apr,3.2,070,21,20.8,21.1
15,16 Apr,3.5,070,21,20.9,21.3
16,17 Apr,4.1,070,20,21.0,21.5
17,18 Apr,4.2,070,20,21.2,21.7
18,19 Apr,4.1,070,19,21.4,21.9
19,20 Apr,4.2,070,18,21.6,22.1
20,21 Apr,4.2,070,19,21.7,22.2
21,22 Apr,4.3,070,19,21.8,22.4
22,23 Apr,4.3,070,20,21.9,22.5
23,24 Apr,4.5,070,21,22.0,22.6
24,25 Apr,4.4,070,22,22.1,22.6
25,26 Apr,4.4,070,21,22.2,22.7
26,27 Apr,4.1,070,21,22.4,22.8
27,28 Apr,4.2,080,20,22.5,23.0
28,29 Apr,4.3,080,19,22.7,23.1
29,30 Apr,4.3,080,19,22.8,23.3
30,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
